performance_link_id,performance_id,platform,link_type,url,title,start_seconds,duration_seconds,is_official,notes
performance-link-gd-1994-08-04-box-of-rain-1-1-archive-track,gd-1994-08-04-box-of-rain-1-1,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/01%20Box%20Of%20Rain.mp3,Box Of Rain,,336,false,Track 1 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 01 Box Of Rain.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-08-04-brokedown-palace-3-1-archive-track,gd-1994-08-04-brokedown-palace-3-1,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/22%20Brokedown%20Palace.mp3,Brokedown Palace,,305,false,Track 22 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 22 Brokedown Palace.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-08-04-china-cat-sunflower-2-2-archive-track,gd-1994-08-04-china-cat-sunflower-2-2,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/11%20China%20Cat%20Sunflower.mp3,China Cat Sunflower,,491,false,Track 11 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 11 China Cat Sunflower.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-08-04-deal-1-8-archive-track,gd-1994-08-04-deal-1-8,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/08%20Deal.mp3,Deal,,721,false,Track 8 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 08 Deal.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-08-04-eternity-1-6-archive-track,gd-1994-08-04-eternity-1-6,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/06%20Eternity.mp3,Eternity,,620,false,Track 6 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 06 Eternity.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-08-04-i-know-you-rider-2-3-archive-track,gd-1994-08-04-i-know-you-rider-2-3,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/12%20I%20Know%20You%20Rider.mp3,I Know You Rider,,330,false,Track 12 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 12 I Know You Rider.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-08-04-i-need-a-miracle-2-9-archive-track,gd-1994-08-04-i-need-a-miracle-2-9,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/18%20I%20Need%20A%20Miracle.mp3,I Need A Miracle,,270,false,Track 18 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 18 I Need A Miracle.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-08-04-jack-a-roe-1-3-archive-track,gd-1994-08-04-jack-a-roe-1-3,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/03%20Jack-A-Roe.mp3,Jack-A-Roe,,370,false,Track 3 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 03 Jack-A-Roe.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-08-04-jack-straw-1-2-archive-track,gd-1994-08-04-jack-straw-1-2,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/02%20Jack%20Straw.mp3,Jack straw,,392,false,Track 2 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 02 Jack Straw.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-08-04-not-fade-away-2-12-archive-track,gd-1994-08-04-not-fade-away-2-12,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/21%20Not%20Fade%20Away.mp3,Not Fade Away,,595,false,Track 21 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 21 Not Fade Away.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-08-04-picasso-moon-2-1-archive-track,gd-1994-08-04-picasso-moon-2-1,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/10%20Picasso%20Moon.mp3,Picasso Moon,,432,false,Track 10 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 10 Picasso Moon.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-08-04-playing-in-the-band-2-5-archive-track,gd-1994-08-04-playing-in-the-band-2-5,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/14%20Playing%20In%20The%20Band.mp3,Playing In The Band,,552,false,Track 14 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 14 Playing In The Band.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-08-04-so-many-roads-1-5-archive-track,gd-1994-08-04-so-many-roads-1-5,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/05%20So%20Many%20Roads.mp3,So Many Roads,,614,false,Track 5 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 05 So Many Roads.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-08-04-space-2-8-archive-track,gd-1994-08-04-space-2-8,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/17%20Space.mp3,Space,,1325,false,Track 17 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 17 Space.mp3. Derived from preserved representative item metadata; no audio retrieved.
performance-link-gd-1994-08-04-the-days-between-2-10-archive-track,gd-1994-08-04-the-days-between-2-10,archive,recording-track,https://archive.org/details/gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16/19%20The%20Days%20Between.mp3,The Days Between,,782,false,Track 19 of Internet Archive item gd1994-08-04.147726.schoepsCMC5MK21.ebel.flac16 (recording-archive-gd1994-08-04-147726-schoepscmc5mk21-ebel-flac16); file 19 The Days Between.mp3. Derived from preserved representative item metadata; no audio retrieved.
