show_link_id,show_id,platform,link_type,url,title,is_official,notes
show-link-gd-1980-05-08-archive-index,gd-1980-05-08,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-05-08,All recordings on the Internet Archive: 1980-05-08 Glens Falls Civic Center,false,"Internet Archive GratefulDead collection listing filtered to date:1980-05-08; 11 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-05-08-relisten,gd-1980-05-08,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/05/08,Listen on Relisten: 1980-05-08 Glens Falls Civic Center,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-05-08, 11 source(s), avg rating 8.89; retrieved 2026-09-01."
show-link-gd-1980-05-10-archive-index,gd-1980-05-10,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-05-10,All recordings on the Internet Archive: 1980-05-10 Hartford Civic Center,false,"Internet Archive GratefulDead collection listing filtered to date:1980-05-10; 16 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-05-10-relisten,gd-1980-05-10,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/05/10,Listen on Relisten: 1980-05-10 Hartford Civic Center,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-05-10, 16 source(s), avg rating 8.80; retrieved 2026-09-01."
show-link-gd-1980-05-11-archive-index,gd-1980-05-11,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-05-11,All recordings on the Internet Archive: 1980-05-11 Cumberland County Civic Center,false,"Internet Archive GratefulDead collection listing filtered to date:1980-05-11; 18 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-05-11-relisten,gd-1980-05-11,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/05/11,Listen on Relisten: 1980-05-11 Cumberland County Civic Center,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-05-11, 18 source(s), avg rating 9.33; retrieved 2026-09-01."
show-link-gd-1980-05-12-archive-index,gd-1980-05-12,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-05-12,All recordings on the Internet Archive: 1980-05-12 Boston Garden,false,"Internet Archive GratefulDead collection listing filtered to date:1980-05-12; 9 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-05-12-relisten,gd-1980-05-12,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/05/12,Listen on Relisten: 1980-05-12 Boston Garden,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-05-12, 9 source(s), avg rating 8.60; retrieved 2026-09-01."
show-link-gd-1980-05-14-archive-index,gd-1980-05-14,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-05-14,All recordings on the Internet Archive: 1980-05-14 Nassau Veterans Memorial Coliseum,false,"Internet Archive GratefulDead collection listing filtered to date:1980-05-14; 9 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-05-14-relisten,gd-1980-05-14,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/05/14,Listen on Relisten: 1980-05-14 Nassau Veterans Memorial Coliseum,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-05-14, 9 source(s), avg rating 8.17; retrieved 2026-09-01."
show-link-gd-1980-05-15-archive-index,gd-1980-05-15,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-05-15,All recordings on the Internet Archive: 1980-05-15 Nassau Veterans Memorial Coliseum,false,"Internet Archive GratefulDead collection listing filtered to date:1980-05-15; 11 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-05-15-relisten,gd-1980-05-15,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/05/15,Listen on Relisten: 1980-05-15 Nassau Veterans Memorial Coliseum,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-05-15, 11 source(s), avg rating 9.56; retrieved 2026-09-01."
show-link-gd-1980-05-16-archive-index,gd-1980-05-16,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-05-16,All recordings on the Internet Archive: 1980-05-16 Nassau Veterans Memorial Coliseum,false,"Internet Archive GratefulDead collection listing filtered to date:1980-05-16; 8 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-05-16-relisten,gd-1980-05-16,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/05/16,Listen on Relisten: 1980-05-16 Nassau Veterans Memorial Coliseum,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-05-16, 8 source(s), avg rating 8.00; retrieved 2026-09-01."
show-link-gd-1980-05-29-archive-index,gd-1980-05-29,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-05-29,All recordings on the Internet Archive: 1980-05-29 Des Moines Civic Center,false,"Internet Archive GratefulDead collection listing filtered to date:1980-05-29; 5 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-05-29-relisten,gd-1980-05-29,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/05/29,Listen on Relisten: 1980-05-29 Des Moines Civic Center,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-05-29, 5 source(s), avg rating 9.00; retrieved 2026-09-01."
show-link-gd-1980-05-30-archive-index,gd-1980-05-30,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-05-30,All recordings on the Internet Archive: 1980-05-30 Milwaukee Auditorium,false,"Internet Archive GratefulDead collection listing filtered to date:1980-05-30; 4 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-05-30-relisten,gd-1980-05-30,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/05/30,Listen on Relisten: 1980-05-30 Milwaukee Auditorium,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-05-30, 4 source(s), avg rating 9.00; retrieved 2026-09-01."
show-link-gd-1980-05-31-archive-index,gd-1980-05-31,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-05-31,All recordings on the Internet Archive: 1980-05-31 Metropolitan Sports Center,false,"Internet Archive GratefulDead collection listing filtered to date:1980-05-31; 2 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-05-31-relisten,gd-1980-05-31,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/05/31,Listen on Relisten: 1980-05-31 Metropolitan Sports Center,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-05-31, 2 source(s), avg rating 9.14; retrieved 2026-09-01."
show-link-gd-1980-06-05-archive-index,gd-1980-06-05,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-06-05,All recordings on the Internet Archive: 1980-06-05 Compton Terrace,false,"Internet Archive GratefulDead collection listing filtered to date:1980-06-05; 6 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-06-05-relisten,gd-1980-06-05,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/06/05,Listen on Relisten: 1980-06-05 Compton Terrace,false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-06-05, 6 source(s), avg rating 7.45; retrieved 2026-09-01."
show-link-gd-1980-06-07-archive-index,gd-1980-06-07,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-06-07,"All recordings on the Internet Archive: 1980-06-07 Folsom Field, University of Colorado Boulder",false,"Internet Archive GratefulDead collection listing filtered to date:1980-06-07; 14 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
show-link-gd-1980-06-07-relisten,gd-1980-06-07,relisten,streaming-show-page,https://relisten.net/grateful-dead/1980/06/07,"Listen on Relisten: 1980-06-07 Folsom Field, University of Colorado Boulder",false,"Relisten API year listing https://api.relisten.net/api/v2/artists/grateful-dead/years/1980: display_date 1980-06-07, 14 source(s), avg rating 9.00; retrieved 2026-09-01."
show-link-gd-1980-06-08-archive-index,gd-1980-06-08,archive,recording-index,https://archive.org/details/GratefulDead?query=date%3A1980-06-08,"All recordings on the Internet Archive: 1980-06-08 Folsom Field, University of Colorado Boulder",false,"Internet Archive GratefulDead collection listing filtered to date:1980-06-08; 14 canonical recording row(s) already cite Archive items for this show, so the listing is non-empty."
