song_id,title,writers,signal,original_artist,evidence_url,decision
song-hell-in-a-bucket,Hell In A Bucket,,no_writer_data,,,held
song-help-me-rhonda,Help Me Rhonda,person-brian-wilson;person-brian-wilson;person-mike-love,non_family_writer,,,held
song-help-on-the-way,Help On The Way,,no_writer_data,,,held
song-here-comes-sunshine,Here Comes Sunshine,,no_writer_data,,,held
song-hey-bo-diddley,Hey Bo Diddley,person-bo-diddley;person-bo-diddley,non_family_writer,,,held
song-hey-jude,Hey Jude,,no_writer_data,,,held
song-hey-jude-reprise,Hey Jude Reprise,,no_writer_data,,,held
song-hey-little-one,Hey Little One,,no_writer_data,,,held
song-hey-pocky-way,Hey Pocky Way,,no_writer_data,,,held
song-hi-heel-sneakers,Hi-Heel Sneakers,,no_writer_data,,,held
song-hideaway,Hideaway,person-josh-milan;person-kevin-hedge,non_family_writer,,,held
song-hog-for-you-baby,Hog For You Baby,,no_writer_data,,,held
song-hoochie-coochie-man,Hoochie Coochie Man,,no_writer_data,,,held
song-how-long-blues,How Long Blues,person-john-lee-hooker;person-john-lee-hooker,non_family_writer,,,held
song-how-sweet-it-is-to-be-loved-by-you,How Sweet It Is (To Be Loved By You),person-brian-holland;person-eddie-holland;person-lamont-dozier,non_family_writer,,,held
song-hully-gully,Hully Gully,,no_writer_data,,,held
song-hurts-me-too,Hurts Me Too,,no_writer_data,,,held
song-i-ain-t-superstitious,I Ain't Superstitious,,no_writer_data,,,held
song-i-fought-the-law,I Fought The Law,,no_writer_data,,,held
song-i-got-my-mojo-workin,I Got My Mojo Workin',,no_writer_data,,,held
song-i-heard-it-through-the-grapevine,I Heard It Through The Grapevine,,no_writer_data,,,held
song-i-just-want-to-make-love-to-you,I Just Want To Make Love To You,,no_writer_data,,,held
song-i-know-it-s-a-sin,I Know It's A Sin,,no_writer_data,,,held
song-i-know-you-rider,I Know You Rider,,no_writer_data,,,held
song-i-ll-go-crazy,I'll Go Crazy,,no_writer_data,,,held
song-i-m-a-king-bee,I'm A King Bee,person-james-moore;person-james-moore,non_family_writer,,,held
song-i-m-a-man,I'm A Man,,no_writer_data,,,held
song-i-m-a-road-runner,(I'm A) Road Runner,,no_writer_data,,,held
song-i-need-a-miracle,I Need A Miracle,,no_writer_data,,,held
song-i-second-that-emotion,I Second That Emotion,person-al-cleveland;person-smokey-robinson,non_family_writer,,,held
song-i-ve-been-all-around-this-world,I've Been All Around This World,person-grandpa-jones;person-grandpa-jones,non_family_writer,,,held
song-i-want-to-tell-you,I Want To Tell You,,no_writer_data,,,held
song-i-will-take-you-home,I Will Take You Home,,no_writer_data,,,held
song-if-i-had-the-world-to-give,If I Had The World To Give,,no_writer_data,,,held
song-if-the-shoe-fits,If The Shoe Fits,,no_writer_data,,,held
song-iko-iko,Iko Iko,,no_writer_data,,,held
song-in-the-pines,In The Pines,,no_writer_data,,,held
song-into-the-mystic,Into The Mystic,,no_writer_data,,,held
song-it-must-have-been-the-roses,It Must Have Been The Roses,,no_writer_data,,,held
song-it-s-a-man-s-world,It's A Man's World,person-ice-cube;person-sir-jinx,non_family_writer,,,held
song-it-s-all-over-now,It's All Over Now,person-bobby-womack;person-shirley-jean-womack,non_family_writer,,,held
song-it-s-all-over-now-baby-blue,It's All Over Now Baby Blue,person-bob-dylan;person-bob-dylan;person-bob-dylan,non_family_writer,,,held
song-it-s-all-too-much,It's All Too Much,,no_writer_data,,,held
song-it-takes-a-lot-to-laugh-it-takes-a-train-to-cry,"It Takes A Lot To Laugh, It Takes A Train To Cry",,no_writer_data,,,held
song-jack-a-roe,Jack-A-Roe,,no_writer_data,,,held
song-jam,Jam,,no_writer_data,,,held
song-john-s-other,John's Other,person-papa-john-creach,non_family_writer,,,held
song-johnny-b-goode,Johnny B. Goode,person-chuck-berry;person-chuck-berry,non_family_writer,,,held
song-just-a-little-light,Just A Little Light,,no_writer_data,,,held
song-just-like-tom-thumb-s-blues,Just Like Tom Thumb's Blues,,no_writer_data,,,held
song-kansas-city,Kansas City,,no_writer_data,,,held
song-katie-mae,Katie Mae,person-lightnin-hopkins;person-lightnin-hopkins,non_family_writer,,,held
song-keep-on-growing,Keep On Growing,,no_writer_data,,,held
song-keep-rolling-by,Keep Rolling By,,no_writer_data,,,held
